Region,Codigo region,Poblacion,fecha,numero
Tarapacá,01,382773,2020-12-14,1359
Antofagasta,02,691854,2020-12-14,4676
Atacama,03,314709,2020-12-14,691
Coquimbo,04,836096,2020-12-14,1552
Valparaíso,05,1960170,2020-12-14,2936
Metropolitana,13,8125072,2020-12-14,16896
O’Higgins,06,991063,2020-12-14,1369
Maule,07,1131939,2020-12-14,1915
Ñuble,16,511551,2020-12-14,1576
Biobío,08,1663696,2020-12-14,4871
Araucanía,09,1014343,2020-12-14,1525
Los Ríos,14,405835,2020-12-14,1363
Los Lagos,10,891440,2020-12-14,3821
Aysén,11,107297,2020-12-14,196
Magallanes,12,178362,2020-12-14,1119
Arica y Parinacota,15,252110,2020-12-15,632
Tarapacá,01,382773,2020-12-15,1796
Antofagasta,02,691854,2020-12-15,2808
Atacama,03,314709,2020-12-15,713
Coquimbo,04,836096,2020-12-15,986
Valparaíso,05,1960170,2020-12-15,2073
Metropolitana,13,8125072,2020-12-15,9198
O’Higgins,06,991063,2020-12-15,1134
Maule,07,1131939,2020-12-15,1812
Ñuble,16,511551,2020-12-15,724
Biobío,08,1663696,2020-12-15,2741
Araucanía,09,1014343,2020-12-15,1664
Los Ríos,14,405835,2020-12-15,583
Los Lagos,10,891440,2020-12-15,2074
Aysén,11,107297,2020-12-15,85
Magallanes,12,178362,2020-12-15,459
Arica y Parinacota,15,252110,2020-12-16,314
Tarapacá,01,382773,2020-12-16,1057
Antofagasta,02,691854,2020-12-16,1396
Atacama,03,314709,2020-12-16,455
Coquimbo,04,836096,2020-12-16,773
Valparaíso,05,1960170,2020-12-16,1981
Metropolitana,13,8125072,2020-12-16,10153
O’Higgins,06,991063,2020-12-16,1385
Maule,07,1131939,2020-12-16,1054
Ñuble,16,511551,2020-12-16,423
Biobío,08,1663696,2020-12-16,3073
Araucanía,09,1014343,2020-12-16,955
Los Ríos,14,405835,2020-12-16,677
Los Lagos,10,891440,2020-12-16,1251
Aysén,11,107297,2020-12-16,437
Magallanes,12,178362,2020-12-16,515
Arica y Parinacota,15,252110,2020-12-17,663
Tarapacá,01,382773,2020-12-17,1207
Antofagasta,02,691854,2020-12-17,2094
Atacama,03,314709,2020-12-17,219
Coquimbo,04,836096,2020-12-17,973
Valparaíso,05,1960170,2020-12-17,3621
Metropolitana,13,8125072,2020-12-17,15039
O’Higgins,06,991063,2020-12-17,1494
Maule,07,1131939,2020-12-17,1894
Ñuble,16,511551,2020-12-17,962
Biobío,08,1663696,2020-12-17,5121
Araucanía,09,1014343,2020-12-17,1133
Los Ríos,14,405835,2020-12-17,860
Los Lagos,10,891440,2020-12-17,3710
Aysén,11,107297,2020-12-17,485
Magallanes,12,178362,2020-12-17,586
Arica y Parinacota,15,252110,2020-12-18,1315
Tarapacá,01,382773,2020-12-18,706
Antofagasta,02,691854,2020-12-18,1662
Atacama,03,314709,2020-12-18,693
Coquimbo,04,836096,2020-12-18,1313
Valparaíso,05,1960170,2020-12-18,4050
Metropolitana,13,8125072,2020-12-18,17795
O’Higgins,06,991063,2020-12-18,1753
Maule,07,1131939,2020-12-18,2384
Ñuble,16,511551,2020-12-18,1264
Biobío,08,1663696,2020-12-18,6836
Araucanía,09,1014343,2020-12-18,1612
Los Ríos,14,405835,2020-12-18,1087
Los Lagos,10,891440,2020-12-18,3822
Aysén,11,107297,2020-12-18,387
Magallanes,12,178362,2020-12-18,855
Arica y Parinacota,15,252110,2020-12-19,676
Tarapacá,01,382773,2020-12-19,984
Antofagasta,02,691854,2020-12-19,2264
Atacama,03,314709,2020-12-19,857
Coquimbo,04,836096,2020-12-19,1014
Valparaíso,05,1960170,2020-12-19,3957
Metropolitana,13,8125072,2020-12-19,17043
O’Higgins,06,991063,2020-12-19,1736
Maule,07,1131939,2020-12-19,2596
Ñuble,16,511551,2020-12-19,998
Biobío,08,1663696,2020-12-19,6269
Araucanía,09,1014343,2020-12-19,1755
Los Ríos,14,405835,2020-12-19,1314
Los Lagos,10,891440,2020-12-19,3966
Aysén,11,107297,2020-12-19,337
Magallanes,12,178362,2020-12-19,960
Arica y Parinacota,15,252110,2020-12-20,922
Tarapacá,01,382773,2020-12-20,953
Antofagasta,02,691854,2020-12-20,3174
Atacama,03,314709,2020-12-20,880
Coquimbo,04,836096,2020-12-20,1735
Valparaíso,05,1960170,2020-12-20,3645
Metropolitana,13,8125072,2020-12-20,17240
O’Higgins,06,991063,2020-12-20,1900
Maule,07,1131939,2020-12-20,2988
Ñuble,16,511551,2020-12-20,1249
Biobío,08,1663696,2020-12-20,6157
Araucanía,09,1014343,2020-12-20,1783
Los Ríos,14,405835,2020-12-20,1047
Los Lagos,10,891440,2020-12-20,5362
Aysén,11,107297,2020-12-20,365
Magallanes,12,178362,2020-12-20,885
Arica y Parinacota,15,252110,2020-12-21,1412
Tarapacá,01,382773,2020-12-21,1484
Antofagasta,02,691854,2020-12-21,4056
Atacama,03,314709,2020-12-21,783
Coquimbo,04,836096,2020-12-21,1385
Valparaíso,05,1960170,2020-12-21,2433
Metropolitana,13,8125072,2020-12-21,15757
O’Higgins,06,991063,2020-12-21,1297
Maule,07,1131939,2020-12-21,2620
Ñuble,16,511551,2020-12-21,1095
Biobío,08,1663696,2020-12-21,6184
Araucanía,09,1014343,2020-12-21,1565
Los Ríos,14,405835,2020-12-21,1108
Los Lagos,10,891440,2020-12-21,3390
Aysén,11,107297,2020-12-21,296
Magallanes,12,178362,2020-12-21,828
Arica y Parinacota,15,252110,2020-12-22,693
Tarapacá,01,382773,2020-12-22,1308
Antofagasta,02,691854,2020-12-22,2360
Atacama,03,314709,2020-12-22,900
Coquimbo,04,836096,2020-12-22,875
Valparaíso,05,1960170,2020-12-22,1724
Metropolitana,13,8125072,2020-12-22,9737
O’Higgins,06,991063,2020-12-22,935
Maule,07,1131939,2020-12-22,1650
Ñuble,16,511551,2020-12-22,491
Biobío,08,1663696,2020-12-22,2619
Araucanía,09,1014343,2020-12-22,1302
Los Ríos,14,405835,2020-12-22,793
Los Lagos,10,891440,2020-12-22,3669
Aysén,11,107297,2020-12-22,177
Magallanes,12,178362,2020-12-22,672
Arica y Parinacota,15,252110,2020-12-23,644
Tarapacá,01,382773,2020-12-23,685
Antofagasta,02,691854,2020-12-23,1729
Atacama,03,314709,2020-12-23,509
Coquimbo,04,836096,2020-12-23,745
Valparaíso,05,1960170,2020-12-23,2326
Metropolitana,13,8125072,2020-12-23,12640
O’Higgins,06,991063,2020-12-23,1438
Maule,07,1131939,2020-12-23,1681
Ñuble,16,511551,2020-12-23,416
Biobío,08,1663696,2020-12-23,3422
Araucanía,09,1014343,2020-12-23,1376
Los Ríos,14,405835,2020-12-23,663
Los Lagos,10,891440,2020-12-23,2162
Aysén,11,107297,2020-12-23,302
Magallanes,12,178362,2020-12-23,496
Arica y Parinacota,15,252110,2020-12-24,879
Tarapacá,01,382773,2020-12-24,1247
Antofagasta,02,691854,2020-12-24,1904
Atacama,03,314709,2020-12-24,317
Coquimbo,04,836096,2020-12-24,1243
Valparaíso,05,1960170,2020-12-24,3738
Metropolitana,13,8125072,2020-12-24,16481
O’Higgins,06,991063,2020-12-24,1384
Maule,07,1131939,2020-12-24,2035
Ñuble,16,511551,2020-12-24,1389
Biobío,08,1663696,2020-12-24,5948
Araucanía,09,1014343,2020-12-24,1484
Los Ríos,14,405835,2020-12-24,850
Los Lagos,10,891440,2020-12-24,4319
Aysén,11,107297,2020-12-24,340
Magallanes,12,178362,2020-12-24,746
Arica y Parinacota,15,252110,2020-12-25,895
Tarapacá,01,382773,2020-12-25,1016
Antofagasta,02,691854,2020-12-25,1755
Atacama,03,314709,2020-12-25,961
Coquimbo,04,836096,2020-12-25,1238
Valparaíso,05,1960170,2020-12-25,3820
Metropolitana,13,8125072,2020-12-25,16987
O’Higgins,06,991063,2020-12-25,1834
Maule,07,1131939,2020-12-25,2770
Ñuble,16,511551,2020-12-25,1068
Biobío,08,1663696,2020-12-25,7474
Araucanía,09,1014343,2020-12-25,1537
Los Ríos,14,405835,2020-12-25,997
Los Lagos,10,891440,2020-12-25,4358
Aysén,11,107297,2020-12-25,409
Magallanes,12,178362,2020-12-25,892
Arica y Parinacota,15,252110,2020-12-26,1042
Tarapacá,01,382773,2020-12-26,1225
Antofagasta,02,691854,2020-12-26,2291
Atacama,03,314709,2020-12-26,876
Coquimbo,04,836096,2020-12-26,1369
Valparaíso,05,1960170,2020-12-26,3625
Metropolitana,13,8125072,2020-12-26,15434
O’Higgins,06,991063,2020-12-26,1820
Maule,07,1131939,2020-12-26,2863
Ñuble,16,511551,2020-12-26,1356
Biobío,08,1663696,2020-12-26,6167
Araucanía,09,1014343,2020-12-26,2242
Los Ríos,14,405835,2020-12-26,1250
Los Lagos,10,891440,2020-12-26,5455
Aysén,11,107297,2020-12-26,421
Magallanes,12,178362,2020-12-26,837
Arica y Parinacota,15,252110,2020-12-27,373
Tarapacá,01,382773,2020-12-27,1146
Antofagasta,02,691854,2020-12-27,1441
Atacama,03,314709,2020-12-27,723
Coquimbo,04,836096,2020-12-27,732
Valparaíso,05,1960170,2020-12-27,1719
Metropolitana,13,8125072,2020-12-27,9351
O’Higgins,06,991063,2020-12-27,1044
Maule,07,1131939,2020-12-27,2645
Ñuble,16,511551,2020-12-27,920
Biobío,08,1663696,2020-12-27,3164
Araucanía,09,1014343,2020-12-27,1480
Los Ríos,14,405835,2020-12-27,338
Los Lagos,10,891440,2020-12-27,1877
Aysén,11,107297,2020-12-27,117
Magallanes,12,178362,2020-12-27,227
Arica y Parinacota,15,252110,2020-12-28,598
Tarapacá,01,382773,2020-12-28,466
Antofagasta,02,691854,2020-12-28,2088
Atacama,03,314709,2020-12-28,300
Coquimbo,04,836096,2020-12-28,578
Valparaíso,05,1960170,2020-12-28,1106
Metropolitana,13,8125072,2020-12-28,9852
O’Higgins,06,991063,2020-12-28,626
Maule,07,1131939,2020-12-28,1638
Ñuble,16,511551,2020-12-28,820
Biobío,08,1663696,2020-12-28,2034
Araucanía,09,1014343,2020-12-28,1537
Los Ríos,14,405835,2020-12-28,175
Los Lagos,10,891440,2020-12-28,837
Aysén,11,107297,2020-12-28,281
Magallanes,12,178362,2020-12-28,555
Arica y Parinacota,15,252110,2020-12-29,763
Tarapacá,01,382773,2020-12-29,1115
Antofagasta,02,691854,2020-12-29,2005
Atacama,03,314709,2020-12-29,117
Coquimbo,04,836096,2020-12-29,646
Valparaíso,05,1960170,2020-12-29,1165
Metropolitana,13,8125072,2020-12-29,7523
O’Higgins,06,991063,2020-12-29,533
Maule,07,1131939,2020-12-29,943
Ñuble,16,511551,2020-12-29,548
Biobío,08,1663696,2020-12-29,2380
Araucanía,09,1014343,2020-12-29,1106
Los Ríos,14,405835,2020-12-29,1233
Los Lagos,10,891440,2020-12-29,1538
Aysén,11,107297,2020-12-29,152
Magallanes,12,178362,2020-12-29,623
Arica y Parinacota,15,252110,2020-12-30,833
Tarapacá,01,382773,2020-12-30,645
Antofagasta,02,691854,2020-12-30,2954
Atacama,03,314709,2020-12-30,283
Coquimbo,04,836096,2020-12-30,608
Valparaíso,05,1960170,2020-12-30,1516
Metropolitana,13,8125072,2020-12-30,10280
O’Higgins,06,991063,2020-12-30,717
Maule,07,1131939,2020-12-30,1027
Ñuble,16,511551,2020-12-30,399
Biobío,08,1663696,2020-12-30,2875
Araucanía,09,1014343,2020-12-30,1100
Los Ríos,14,405835,2020-12-30,485
Los Lagos,10,891440,2020-12-30,1558
Aysén,11,107297,2020-12-30,475
Magallanes,12,178362,2020-12-30,337
Arica y Parinacota,15,252110,2020-12-31,1016
Tarapacá,01,382773,2020-12-31,1120
Antofagasta,02,691854,2020-12-31,2641
Atacama,03,314709,2020-12-31,246
Coquimbo,04,836096,2020-12-31,863
Valparaíso,05,1960170,2020-12-31,3562
Metropolitana,13,8125072,2020-12-31,15510
O’Higgins,06,991063,2020-12-31,1338
Maule,07,1131939,2020-12-31,1989
Ñuble,16,511551,2020-12-31,1139
Biobío,08,1663696,2020-12-31,5885
Araucanía,09,1014343,2020-12-31,1367
Los Ríos,14,405835,2020-12-31,1123
Los Lagos,10,891440,2020-12-31,3737
Aysén,11,107297,2020-12-31,378
Magallanes,12,178362,2020-12-31,656
Arica y Parinacota,15,252110,2021-01-01,929
Tarapacá,01,382773,2021-01-01,1110
Antofagasta,02,691854,2021-01-01,1885
Atacama,03,314709,2021-01-01,763
Coquimbo,04,836096,2021-01-01,2016
Valparaíso,05,1960170,2021-01-01,4288
Metropolitana,13,8125072,2021-01-01,17561
O’Higgins,06,991063,2021-01-01,2020
Maule,07,1131939,2021-01-01,3309
Ñuble,16,511551,2021-01-01,1406
Biobío,08,1663696,2021-01-01,5951
Araucanía,09,1014343,2021-01-01,1887
Los Ríos,14,405835,2021-01-01,1278
Los Lagos,10,891440,2021-01-01,5002
Aysén,11,107297,2021-01-01,369
Magallanes,12,178362,2021-01-01,809
Arica y Parinacota,15,252110,2021-01-02,1030
Tarapacá,01,382773,2021-01-02,947
Antofagasta,02,691854,2021-01-02,2579
Atacama,03,314709,2021-01-02,857
Coquimbo,04,836096,2021-01-02,1081
Valparaíso,05,1960170,2021-01-02,3436
Metropolitana,13,8125072,2021-01-02,15741
O’Higgins,06,991063,2021-01-02,2530
Maule,07,1131939,2021-01-02,1336
Ñuble,16,511551,2021-01-02,1122
Biobío,08,1663696,2021-01-02,5950
Araucanía,09,1014343,2021-01-02,1803
Los Ríos,14,405835,2021-01-02,1575
Los Lagos,10,891440,2021-01-02,5123
Aysén,11,107297,2021-01-02,404
Magallanes,12,178362,2021-01-02,664
Arica y Parinacota,15,252110,2021-01-03,344
Tarapacá,01,382773,2021-01-03,1125
Antofagasta,02,691854,2021-01-03,1070
Atacama,03,314709,2021-01-03,623
Coquimbo,04,836096,2021-01-03,602
Valparaíso,05,1960170,2021-01-03,2030
Metropolitana,13,8125072,2021-01-03,8562
O’Higgins,06,991063,2021-01-03,935
Maule,07,1131939,2021-01-03,5052
Ñuble,16,511551,2021-01-03,1027
Biobío,08,1663696,2021-01-03,3095
Araucanía,09,1014343,2021-01-03,1630
Los Ríos,14,405835,2021-01-03,653
Los Lagos,10,891440,2021-01-03,2630
Aysén,11,107297,2021-01-03,114
Magallanes,12,178362,2021-01-03,292
Arica y Parinacota,15,252110,2021-01-04,486
Tarapacá,01,382773,2021-01-04,834
Antofagasta,02,691854,2021-01-04,2468
Atacama,03,314709,2021-01-04,397
Coquimbo,04,836096,2021-01-04,370
Valparaíso,05,1960170,2021-01-04,1595
Metropolitana,13,8125072,2021-01-04,8588
O’Higgins,06,991063,2021-01-04,811
Maule,07,1131939,2021-01-04,2207
Ñuble,16,511551,2021-01-04,551
Biobío,08,1663696,2021-01-04,1747
Araucanía,09,1014343,2021-01-04,1714
Los Ríos,14,405835,2021-01-04,479
Los Lagos,10,891440,2021-01-04,2361
Aysén,11,107297,2021-01-04,318
Magallanes,12,178362,2021-01-04,571
Arica y Parinacota,15,252110,2021-01-05,483
Tarapacá,01,382773,2021-01-05,1320
Antofagasta,02,691854,2021-01-05,1333
Atacama,03,314709,2021-01-05,102
Coquimbo,04,836096,2021-01-05,839
Valparaíso,05,1960170,2021-01-05,1228
Metropolitana,13,8125072,2021-01-05,10837
O’Higgins,06,991063,2021-01-05,925
Maule,07,1131939,2021-01-05,1490
Ñuble,16,511551,2021-01-05,522
Biobío,08,1663696,2021-01-05,2674
Araucanía,09,1014343,2021-01-05,1041
Los Ríos,14,405835,2021-01-05,675
Los Lagos,10,891440,2021-01-05,1454
Aysén,11,107297,2021-01-05,160
Magallanes,12,178362,2021-01-05,734
Arica y Parinacota,15,252110,2021-01-06,892
Tarapacá,01,382773,2021-01-06,857
Antofagasta,02,691854,2021-01-06,4761
Atacama,03,314709,2021-01-06,216
Coquimbo,04,836096,2021-01-06,691
Valparaíso,05,1960170,2021-01-06,2158
Metropolitana,13,8125072,2021-01-06,9326
O’Higgins,06,991063,2021-01-06,1310
Maule,07,1131939,2021-01-06,1267
Ñuble,16,511551,2021-01-06,421
Biobío,08,1663696,2021-01-06,5116
Araucanía,09,1014343,2021-01-06,1456
Los Ríos,14,405835,2021-01-06,676
Los Lagos,10,891440,2021-01-06,1808
Aysén,11,107297,2021-01-06,377
Magallanes,12,178362,2021-01-06,704
Arica y Parinacota,15,252110,2021-01-07,1293
Tarapacá,01,382773,2021-01-07,951
Antofagasta,02,691854,2021-01-07,2173
Atacama,03,314709,2021-01-07,293
Coquimbo,04,836096,2021-01-07,1267
Valparaíso,05,1960170,2021-01-07,3863
Metropolitana,13,8125072,2021-01-07,19071
O’Higgins,06,991063,2021-01-07,1599
Maule,07,1131939,2021-01-07,2313
Ñuble,16,511551,2021-01-07,1354
Biobío,08,1663696,2021-01-07,4609
Araucanía,09,1014343,2021-01-07,1370
Los Ríos,14,405835,2021-01-07,1389
Los Lagos,10,891440,2021-01-07,4967
Aysén,11,107297,2021-01-07,411
Magallanes,12,178362,2021-01-07,795
Arica y Parinacota,15,252110,2021-01-08,1079
Tarapacá,01,382773,2021-01-08,2120
Antofagasta,02,691854,2021-01-08,3171
Atacama,03,314709,2021-01-08,905
Coquimbo,04,836096,2021-01-08,1557
Valparaíso,05,1960170,2021-01-08,4452
Metropolitana,13,8125072,2021-01-08,18299
O’Higgins,06,991063,2021-01-08,2209
Maule,07,1131939,2021-01-08,2980
Ñuble,16,511551,2021-01-08,1512
Biobío,08,1663696,2021-01-08,5188
Araucanía,09,1014343,2021-01-08,2392
Los Ríos,14,405835,2021-01-08,1307
Los Lagos,10,891440,2021-01-08,5456
Aysén,11,107297,2021-01-08,572
Magallanes,12,178362,2021-01-08,842
Arica y Parinacota,15,252110,2021-01-09,1132
Tarapacá,01,382773,2021-01-09,1394
Antofagasta,02,691854,2021-01-09,2692
Atacama,03,314709,2021-01-09,855
Coquimbo,04,836096,2021-01-09,1227
Valparaíso,05,1960170,2021-01-09,4594
Metropolitana,13,8125072,2021-01-09,21506
O’Higgins,06,991063,2021-01-09,2722
Maule,07,1131939,2021-01-09,4187
Ñuble,16,511551,2021-01-09,1442
Biobío,08,1663696,2021-01-09,4174
Araucanía,09,1014343,2021-01-09,3003
Los Ríos,14,405835,2021-01-09,1871
Los Lagos,10,891440,2021-01-09,5874
Aysén,11,107297,2021-01-09,548
Magallanes,12,178362,2021-01-09,895
Arica y Parinacota,15,252110,2021-01-10,1246
Tarapacá,01,382773,2021-01-10,1506
Antofagasta,02,691854,2021-01-10,2837
Atacama,03,314709,2021-01-10,1445
Coquimbo,04,836096,2021-01-10,1117
Valparaíso,05,1960170,2021-01-10,5507
Metropolitana,13,8125072,2021-01-10,21019
O’Higgins,06,991063,2021-01-10,2494
Maule,07,1131939,2021-01-10,3429
Ñuble,16,511551,2021-01-10,1615
Biobío,08,1663696,2021-01-10,6313
Araucanía,09,1014343,2021-01-10,2413
Los Ríos,14,405835,2021-01-10,1478
Los Lagos,10,891440,2021-01-10,5924
Aysén,11,107297,2021-01-10,625
Magallanes,12,178362,2021-01-10,758
Arica y Parinacota,15,252110,2021-01-11,1231
Tarapacá,01,382773,2021-01-11,1280
Antofagasta,02,691854,2021-01-11,6363
Atacama,03,314709,2021-01-11,108
Coquimbo,04,836096,2021-01-11,1544
Valparaíso,05,1960170,2021-01-11,3565
Metropolitana,13,8125072,2021-01-11,20007
O’Higgins,06,991063,2021-01-11,2649
Maule,07,1131939,2021-01-11,3219
Ñuble,16,511551,2021-01-11,1456
Biobío,08,1663696,2021-01-11,6087
Araucanía,09,1014343,2021-01-11,1998
Los Ríos,14,405835,2021-01-11,1507
Los Lagos,10,891440,2021-01-11,5355
Aysén,11,107297,2021-01-11,327
Magallanes,12,178362,2021-01-11,742
Arica y Parinacota,15,252110,2021-01-12,915
Tarapacá,01,382773,2021-01-12,1997
Antofagasta,02,691854,2021-01-12,3496
Atacama,03,314709,2021-01-12,1472
Coquimbo,04,836096,2021-01-12,1121
Valparaíso,05,1960170,2021-01-12,2968
Metropolitana,13,8125072,2021-01-12,13969
O’Higgins,06,991063,2021-01-12,1705
Maule,07,1131939,2021-01-12,2004
Ñuble,16,511551,2021-01-12,916
Biobío,08,1663696,2021-01-12,4153
Araucanía,09,1014343,2021-01-12,2103
Los Ríos,14,405835,2021-01-12,1184
Los Lagos,10,891440,2021-01-12,3362
Aysén,11,107297,2021-01-12,231
Magallanes,12,178362,2021-01-12,1126
Arica y Parinacota,15,252110,2021-01-13,897
Tarapacá,01,382773,2021-01-13,1300
Antofagasta,02,691854,2021-01-13,1895
Atacama,03,314709,2021-01-13,913
Coquimbo,04,836096,2021-01-13,839
Valparaíso,05,1960170,2021-01-13,2683
Metropolitana,13,8125072,2021-01-13,14620
O’Higgins,06,991063,2021-01-13,1796
Maule,07,1131939,2021-01-13,3201
Ñuble,16,511551,2021-01-13,565
Biobío,08,1663696,2021-01-13,4544
Araucanía,09,1014343,2021-01-13,1798
Los Ríos,14,405835,2021-01-13,844
Los Lagos,10,891440,2021-01-13,4160
Aysén,11,107297,2021-01-13,650
Magallanes,12,178362,2021-01-13,755
Arica y Parinacota,15,252110,2021-01-14,1215
Tarapacá,01,382773,2021-01-14,1452
Antofagasta,02,691854,2021-01-14,2506
Atacama,03,314709,2021-01-14,645
Coquimbo,04,836096,2021-01-14,1288
Valparaíso,05,1960170,2021-01-14,4450
Metropolitana,13,8125072,2021-01-14,19939
O’Higgins,06,991063,2021-01-14,1976
Maule,07,1131939,2021-01-14,3180
Ñuble,16,511551,2021-01-14,1444
Biobío,08,1663696,2021-01-14,5778
Araucanía,09,1014343,2021-01-14,2309
Los Ríos,14,405835,2021-01-14,1585
Los Lagos,10,891440,2021-01-14,5198
Aysén,11,107297,2021-01-14,316
Magallanes,12,178362,2021-01-14,835
Arica y Parinacota,15,252110,2021-01-15,1358
Tarapacá,01,382773,2021-01-15,1268
Antofagasta,02,691854,2021-01-15,2185
Atacama,03,314709,2021-01-15,1104
Coquimbo,04,836096,2021-01-15,1864
Valparaíso,05,1960170,2021-01-15,5274
Metropolitana,13,8125072,2021-01-15,20435
O’Higgins,06,991063,2021-01-15,2742
Maule,07,1131939,2021-01-15,3999
Ñuble,16,511551,2021-01-15,1723
Biobío,08,1663696,2021-01-15,6116
Araucanía,09,1014343,2021-01-15,2136
Los Ríos,14,405835,2021-01-15,1365
Los Lagos,10,891440,2021-01-15,5801
Aysén,11,107297,2021-01-15,699
Magallanes,12,178362,2021-01-15,908
Arica y Parinacota,15,252110,2021-01-16,1657
Tarapacá,01,382773,2021-01-16,1716
Antofagasta,02,691854,2021-01-16,3607
Atacama,03,314709,2021-01-16,1118
Coquimbo,04,836096,2021-01-16,1888
Valparaíso,05,1960170,2021-01-16,4781
Metropolitana,13,8125072,2021-01-16,23471
O’Higgins,06,991063,2021-01-16,2768
Maule,07,1131939,2021-01-16,3660
Ñuble,16,511551,2021-01-16,1613
Biobío,08,1663696,2021-01-16,6802
Araucanía,09,1014343,2021-01-16,2200
Los Ríos,14,405835,2021-01-16,1776
Los Lagos,10,891440,2021-01-16,6882
Aysén,11,107297,2021-01-16,470
Magallanes,12,178362,2021-01-16,790
Arica y Parinacota,15,252110,2021-01-17,1980
Tarapacá,01,382773,2021-01-17,1981
Antofagasta,02,691854,2021-01-17,4800
Atacama,03,314709,2021-01-17,1634
Coquimbo,04,836096,2021-01-17,1516
Valparaíso,05,1960170,2021-01-17,6054
Metropolitana,13,8125072,2021-01-17,22861
O’Higgins,06,991063,2021-01-17,3060
Maule,07,1131939,2021-01-17,3741
Ñuble,16,511551,2021-01-17,1513
Biobío,08,1663696,2021-01-17,6393
Araucanía,09,1014343,2021-01-17,3097
Los Ríos,14,405835,2021-01-17,1693
Los Lagos,10,891440,2021-01-17,6725
Aysén,11,107297,2021-01-17,541
Magallanes,12,178362,2021-01-17,869
Arica y Parinacota,15,252110,2021-01-18,1286
Tarapacá,01,382773,2021-01-18,2172
Antofagasta,02,691854,2021-01-18,3182
Atacama,03,314709,2021-01-18,1145
Coquimbo,04,836096,2021-01-18,1829
Valparaíso,05,1960170,2021-01-18,3475
Metropolitana,13,8125072,2021-01-18,19379
O’Higgins,06,991063,2021-01-18,2268
Maule,07,1131939,2021-01-18,3646
Ñuble,16,511551,2021-01-18,1563
Biobío,08,1663696,2021-01-18,5213
Araucanía,09,1014343,2021-01-18,3022
Los Ríos,14,405835,2021-01-18,1322
Los Lagos,10,891440,2021-01-18,4820
Aysén,11,107297,2021-01-18,445
Magallanes,12,178362,2021-01-18,906
Arica y Parinacota,15,252110,2021-01-19,917
Tarapacá,01,382773,2021-01-19,1301
Antofagasta,02,691854,2021-01-19,4465
Atacama,03,314709,2021-01-19,1125
Coquimbo,04,836096,2021-01-19,1491
Valparaíso,05,1960170,2021-01-19,2130
Metropolitana,13,8125072,2021-01-19,14217
O’Higgins,06,991063,2021-01-19,1471
Maule,07,1131939,2021-01-19,2691
Ñuble,16,511551,2021-01-19,828
Biobío,08,1663696,2021-01-19,3296
Araucanía,09,1014343,2021-01-19,2199
Los Ríos,14,405835,2021-01-19,1319
Los Lagos,10,891440,2021-01-19,3542
Aysén,11,107297,2021-01-19,323
Magallanes,12,178362,2021-01-19,698
Arica y Parinacota,15,252110,2021-01-20,974
Tarapacá,01,382773,2021-01-20,2229
Antofagasta,02,691854,2021-01-20,2920
Atacama,03,314709,2021-01-20,905
Coquimbo,04,836096,2021-01-20,988
Valparaíso,05,1960170,2021-01-20,2576
Metropolitana,13,8125072,2021-01-20,13050
O’Higgins,06,991063,2021-01-20,1907
Maule,07,1131939,2021-01-20,1987
Ñuble,16,511551,2021-01-20,565
Biobío,08,1663696,2021-01-20,3871
Araucanía,09,1014343,2021-01-20,3542
Los Ríos,14,405835,2021-01-20,667
Los Lagos,10,891440,2021-01-20,4323
Aysén,11,107297,2021-01-20,549
Magallanes,12,178362,2021-01-20,451
Arica y Parinacota,15,252110,2021-01-21,1578
Tarapacá,01,382773,2021-01-21,1748
Antofagasta,02,691854,2021-01-21,1697
Atacama,03,314709,2021-01-21,1082
Coquimbo,04,836096,2021-01-21,1526
Valparaíso,05,1960170,2021-01-21,6385
Metropolitana,13,8125072,2021-01-21,18677
O’Higgins,06,991063,2021-01-21,2230
Maule,07,1131939,2021-01-21,2674
Ñuble,16,511551,2021-01-21,1525
Biobío,08,1663696,2021-01-21,7680
Araucanía,09,1014343,2021-01-21,2141
Los Ríos,14,405835,2021-01-21,1411
Los Lagos,10,891440,2021-01-21,5223
Aysén,11,107297,2021-01-21,476
Magallanes,12,178362,2021-01-21,875
Arica y Parinacota,15,252110,2021-01-22,1787
Tarapacá,01,382773,2021-01-22,1375
Antofagasta,02,691854,2021-01-22,3417
Atacama,03,314709,2021-01-22,1131
Coquimbo,04,836096,2021-01-22,1596
Valparaíso,05,1960170,2021-01-22,5200
Metropolitana,13,8125072,2021-01-22,19777
O’Higgins,06,991063,2021-01-22,3097
Maule,07,1131939,2021-01-22,3054
Ñuble,16,511551,2021-01-22,1439
Biobío,08,1663696,2021-01-22,6819
Araucanía,09,1014343,2021-01-22,3382
Los Ríos,14,405835,2021-01-22,1554
Los Lagos,10,891440,2021-01-22,7341
Aysén,11,107297,2021-01-22,558
Magallanes,12,178362,2021-01-22,989
Arica y Parinacota,15,252110,2021-01-23,1270
Tarapacá,01,382773,2021-01-23,1618
Antofagasta,02,691854,2021-01-23,1964
Atacama,03,314709,2021-01-23,1427
Coquimbo,04,836096,2021-01-23,1942
Valparaíso,05,1960170,2021-01-23,4611
Metropolitana,13,8125072,2021-01-23,19548
O’Higgins,06,991063,2021-01-23,2516
Maule,07,1131939,2021-01-23,3914
Ñuble,16,511551,2021-01-23,1539
Biobío,08,1663696,2021-01-23,5710
Araucanía,09,1014343,2021-01-23,2999
